feasible,totalDelay,totalNumberOfHops,totalUsedCPU,totalRootedUnusedVnfCapacity
true,22595,222,96,314
true,22954,232,80,227
true,22607,225,96,315
true,22533,217,96,319
true,22674,228,96,318
true,22451,220,96,323
true,22550,215,96,330
true,22504,219,96,318
true,22401,223,96,312
true,22755,227,88,252
true,22362,217,96,318
true,22441,218,96,314
true,22486,215,96,329
true,22405,218,96,327
true,22431,218,96,323
true,22544,223,96,318
true,22931,225,84,254
true,23304,240,84,256
true,22544,223,96,321
true,23275,232,80,230
true,22549,220,96,315
true,22869,224,84,262
true,23956,233,96,330
true,22376,218,96,318
true,22619,227,96,323
true,22425,217,96,323
true,22868,233,80,232
true,22523,222,96,327
true,22318,217,96,319
true,22587,221,96,326
true,22874,220,96,328
true,22774,221,96,325
true,22464,218,96,317
true,22458,223,96,319
true,22579,227,96,319
true,22716,224,80,228
true,22849,226,92,291
true,22364,219,96,319
true,22442,222,96,327
true,22478,222,96,315
true,22555,227,96,316
true,22522,219,96,324
true,22542,219,96,320
true,22450,220,96,329
true,23417,229,96,320
true,22507,221,96,319
true,22485,218,96,320
true,22490,221,96,324
false,31335,353,120,427
false,30228,336,132,475
true,32158,331,96,326
false,34799,371,104,340
false,33457,380,120,440
true,33765,374,96,323
true,31759,357,112,407
false,32392,354,128,445
true,33628,357,112,406
false,31764,329,120,425
false,34924,372,132,467
false,30215,325,116,397
true,32358,346,112,415
true,33604,344,112,415
false,33335,350,128,457
true,31068,319,112,408